A,B
6.5556,13.135
6.5556,13.001
7.2222,12.375
6.4444,13.3333
7,12.3333
7.2222,12.5556
6.7778,13.4444
7.1111,13.7978
6.6667,12.5556
6.8889,12.0222
7.4444,12.3333
7.5556,13
7.3333,13.4644
6.8889,12.7778
6.4444,13.6667
7.5556,13.9556
6.4444,12.8889
6.8889,12.0744
7.4444,13.2222
6.4444,12.4644
7.1111,13.0222
7.1111,12.4444
6.8889,12.3033
7.4444,13.7778
7.1111,12.1667
7.2222,13.7778
7.2222,12.2522
7.3333,13.2222
7.4444,12.2778
7.1111,12.7778
6.6667,13.1111
7.4444,12.7778
7.4444,12.6667
7,13.6667
7.1111,12.7778
7.4444,13
6.6667,13.7778
6.7778,12.8889
7,12.4444
6.8889,13.7078
6.8889,13.4444
7.5556,12.2222
7,12.4889
7.4444,12.2222
6.4444,12.4444
7.4444,13.4444
6.7778,13.5556
